timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 09:04:16.690, 37 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 125.06 W, 40
2026/04/02 09:04:17.690, 33 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 118.98 W, 40
2026/04/02 09:04:18.691, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 121.03 W, 40
2026/04/02 09:04:19.691, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 121.82 W, 40
2026/04/02 09:04:20.691, 35 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 118.77 W, 40
2026/04/02 09:04:21.692, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 118.46 W, 40
2026/04/02 09:04:22.692, 34 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 117.14 W, 41
2026/04/02 09:04:23.693, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 120.16 W, 41
2026/04/02 09:04:24.694, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 118.23 W, 41
2026/04/02 09:04:25.694, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 120.19 W, 41
2026/04/02 09:04:26.694, 34 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 117.98 W, 42
2026/04/02 09:04:27.695, 38 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 127.46 W, 42
2026/04/02 09:04:28.695, 34 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 121.78 W, 42
2026/04/02 09:04:29.696, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 119.28 W, 42
2026/04/02 09:04:30.696, 0 %, 0 %, 743 MiB, 44748 MiB, 46068 MiB, 100.42 W, 41
2026/04/02 09:04:31.697, 25 %, 17 %, 743 MiB, 44748 MiB, 46068 MiB, 85.11 W, 41
2026/04/02 09:04:32.697, 36 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 121.95 W, 42
2026/04/02 09:04:33.697, 33 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 119.16 W, 43
2026/04/02 09:04:34.698, 32 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 120.44 W, 43
2026/04/02 09:04:35.698, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 126.01 W, 43
2026/04/02 09:04:36.699, 39 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 126.58 W, 43
2026/04/02 09:04:37.699, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 120.97 W, 44
2026/04/02 09:04:38.700, 33 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 123.27 W, 44
2026/04/02 09:04:39.700, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 118.08 W, 44
2026/04/02 09:04:40.701, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 124.71 W, 44
2026/04/02 09:04:41.701, 37 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 120.66 W, 44
2026/04/02 09:04:42.702, 35 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 127.32 W, 44
2026/04/02 09:04:43.702, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 123.18 W, 45
2026/04/02 09:04:44.702, 36 %, 24 %, 743 MiB, 44748 MiB, 46068 MiB, 127.11 W, 45
2026/04/02 09:04:45.703, 38 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 128.97 W, 45
2026/04/02 09:04:46.703, 37 %, 25 %, 743 MiB, 44748 MiB, 46068 MiB, 124.82 W, 45
2026/04/02 09:04:47.704, 36 %, 27 %, 743 MiB, 44748 MiB, 46068 MiB, 125.53 W, 45
2026/04/02 09:04:48.704, 34 %, 23 %, 743 MiB, 44748 MiB, 46068 MiB, 120.87 W, 46
2026/04/02 09:04:49.704, 33 %, 22 %, 743 MiB, 44748 MiB, 46068 MiB, 124.96 W, 46
2026/04/02 09:04:50.705, 38 %, 26 %, 743 MiB, 44748 MiB, 46068 MiB, 124.93 W, 46
