 timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 18:14:12.382, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 96.29 W, 39
2026/04/02 18:14:13.382, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 101.70 W, 39
2026/04/02 18:14:14.383, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 103.25 W, 39
2026/04/02 18:14:15.383, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 94.25 W, 40
2026/04/02 18:14:16.383, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 102.18 W, 40
2026/04/02 18:14:17.384, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 106.34 W, 40
2026/04/02 18:14:18.384, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 103.53 W, 40
2026/04/02 18:14:19.384, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 102.79 W, 40
2026/04/02 18:14:20.385, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 102.43 W, 40
2026/04/02 18:14:21.385, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 106.15 W, 40
2026/04/02 18:14:22.385, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 108.13 W, 40
2026/04/02 18:14:23.386, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 104.92 W, 41
2026/04/02 18:14:24.386, 25 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 100.22 W, 41
2026/04/02 18:14:25.386, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 99.14 W, 41
2026/04/02 18:14:26.387, 27 %, 15 %, 653 MiB, 44838 MiB, 46068 MiB, 101.82 W, 41
2026/04/02 18:14:27.387, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 100.75 W, 41
2026/04/02 18:14:28.388, 23 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 96.44 W, 41
2026/04/02 18:14:29.388, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 103.76 W, 41
2026/04/02 18:14:30.388, 22 %, 11 %, 653 MiB, 44838 MiB, 46068 MiB, 102.89 W, 42
2026/04/02 18:14:31.389, 24 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 95.68 W, 42
2026/04/02 18:14:32.389, 26 %, 15 %, 653 MiB, 44838 MiB, 46068 MiB, 104.90 W, 42
2026/04/02 18:14:33.389, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 101.25 W, 42
2026/04/02 18:14:34.390, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 98.94 W, 42
2026/04/02 18:14:35.390, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 103.69 W, 42
2026/04/02 18:14:36.390, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 101.71 W, 42
2026/04/02 18:14:37.391, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 94.87 W, 43
2026/04/02 18:14:38.391, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 95.12 W, 42
2026/04/02 18:14:39.392, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 108.15 W, 43
2026/04/02 18:14:40.392, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 110.72 W, 43
2026/04/02 18:14:41.393, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 103.62 W, 43
2026/04/02 18:14:42.393, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 100.93 W, 43
2026/04/02 18:14:43.394, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 108.82 W, 43
2026/04/02 18:14:44.394, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 105.21 W, 43
